PROJECT,MARKET CAP,FCAS,DEV. BEHAVIOR,USER ACTIVITY,MARKET MATURITY,1D,5D,1M,6M,1Y,1D,5D,1M,6M,1Y,1D,5D,1M,6M,1Y,1D,5D,1M,6M,1Y
Agrello DLT,"$3,621,860.50",151,275,33,576,-0.66%,-7.37%,-9.59%,-11.70%,-3.21%,0.00%,0.00%,10.00%,10.00%,52.77%,-5.72%,-42.11%,-48.44%,-61.63%,-54.80%,-0.87%,-4.16%,-6.50%,3.97%,32.11%
BlockMason Credit Protocol BCPT,"$2,353,601.02",155,250,47,551,0.64%,1.30%,-6.63%,-20.92%,-0.65%,0.00%,11.11%,0.00%,-9.10%,38.88%,-2.09%,6.81%,-38.97%,-67.59%,-30.89%,1.84%,0.18%,2.79%,-1.26%,20.83%
Moeda Loyalty Points MDA,"$6,010,230.95",158,200,53,545,5.33%,0.63%,-4.82%,-22.55%,-2.47%,0.00%,0.00%,-20.00%,-33.34%,11.11%,47.22%,3.92%,-29.34%,-64.91%,-20.90%,0.00%,-1.63%,0.36%,-13.08%,1.48%
Nebulas NAS,"$18,249,515.18",173,450,53,741,1.76%,2.97%,5.48%,-8.95%,1.76%,0.00%,0.00%,0.00%,5.88%,150.00%,8.16%,32.50%,47.22%,-50.47%,-18.47%,0.81%,-1.34%,2.20%,8.17%,14.88%
VIBE VIBE,"$3,992,842.64",173,250,78,615,1.76%,8.12%,0.58%,-7.49%,8.12%,0.00%,0.00%,0.00%,0.00%,38.88%,8.33%,77.27%,-3.71%,-40.46%,13.04%,0.49%,-2.08%,4.94%,16.03%,22.02%
Blox CDT,"$5,249,099.93",176,350,85,622,-1.68%,-3.83%,-3.30%,-18.90%,-13.31%,0.00%,0.00%,16.66%,0.00%,94.44%,-7.61%,-14.15%,-15.00%,-59.14%,-43.34%,-0.48%,-1.27%,-0.33%,22.20%,0.16%
Mithril MITH,"$6,432,491.36",194,200,109,727,-1.03%,-4.44%,-16.02%,-30.72%,-13.40%,0.00%,0.00%,-33.34%,-33.34%,36.98%,-1.81%,-14.18%,-42.94%,-67.07%,-61.21%,-1.23%,-2.81%,-4.85%,10.31%,28.44%
WePower WPR,"$4,900,467.14",194,350,132,605,-0.52%,-6.29%,-3.97%,-22.40%,-13.40%,7.69%,7.69%,0.00%,27.27%,75.87%,-1.50%,-19.52%,-16.46%,-50.00%,-16.46%,0.33%,1.34%,7.26%,-2.42%,32.09%
Waltonchain WTC,"$32,749,522.67",217,425,160,751,-3.99%,-12.15%,-11.79%,-33.85%,-36.18%,0.00%,0.00%,0.00%,6.25%,136.11%,-10.12%,-30.74%,-31.63%,-63.81%,-67.02%,-1.71%,-0.93%,3.15%,7.90%,20.93%
Monetha MTH,"$3,226,999.54",222,301,57,567,0.90%,7.24%,9.90%,10.44%,-51.85%,1.34%,11.48%,26.47%,33.18%,-55.08%,0.00%,-5.00%,-34.49%,-40.63%,-60.42%,-0.71%,0.53%,-0.18%,0.71%,-13.97%
TokenClub TCT,"$8,327,950.86",232,275,174,870,-1.28%,20.83%,40.60%,8.41%,21.46%,0.00%,10.00%,10.00%,0.00%,52.77%,-3.34%,52.63%,194.91%,-3.87%,25.17%,-0.58%,30.43%,40.54%,44.03%,64.46%
Gifto GTO,"$7,528,511.26",248,325,252,658,0.40%,-1.20%,0.00%,-7.47%,-11.12%,0.00%,0.00%,0.00%,30.00%,80.55%,0.39%,-3.08%,2.43%,-10.96%,-25.67%,0.15%,0.61%,-5.87%,-12.39%,8.04%
Viberate VIB,"$3,319,844.58",252,350,270,619,-1.57%,-9.03%,-20.51%,7.69%,-6.32%,0.00%,7.69%,0.00%,7.69%,94.44%,-2.88%,-17.94%,-36.02%,18.42%,-18.43%,-0.81%,-1.28%,-6.07%,1.47%,19.96%
Po.et POE,"$6,430,268.03",253,242,197,611,0.39%,-3.07%,-0.79%,-44.03%,-52.54%,2.97%,1.68%,-8.34%,-58.50%,-66.39%,-2.96%,-10.86%,3.68%,-29.65%,-35.63%,-0.33%,-1.14%,13.78%,21.23%,19.56%
Dock DOCK,"$11,208,915.42",273,325,289,785,-1.80%,3.40%,28.16%,25.22%,17.16%,0.00%,8.33%,8.33%,8.33%,80.55%,-4.31%,7.83%,95.27%,58.79%,30.76%,0.00%,0.12%,4.38%,21.14%,23.23%
Metal MTL,"$19,981,069.43",279,113,406,687,-0.72%,-5.75%,-6.38%,-8.53%,-15.71%,6.60%,15.30%,-5.05%,-25.66%,-20.98%,-3.11%,-12.88%,-10.38%,-3.34%,-19.13%,0.29%,-0.30%,7.17%,-1.44%,-4.98%
OAX OAX,"$7,165,379.54",280,375,313,745,-3.12%,-5.41%,41.41%,61.84%,76.10%,0.00%,0.00%,25.00%,50.00%,108.33%,-6.85%,-11.34%,148.41%,243.95%,360.29%,0.13%,0.26%,8.44%,34.71%,49.59%
FTX Token FTT,"$322,973,556.05",285,200,409,,2.88%,9.19%,-14.42%,N/A,N/A,0.50%,4.16%,-4.77%,N/A,N/A,5.14%,13.92%,-20.43%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Genesis Vision GVT,"$8,458,473.31",304,369,146,698,0.66%,4.82%,2.01%,-21.65%,-21.65%,2.78%,0.54%,2.21%,-28.22%,-32.91%,-4.58%,16.80%,-3.95%,-21.51%,-14.12%,-0.15%,6.72%,8.55%,11.85%,46.63%
Everex EVX,"$6,979,199.10",310,385,146,680,-0.65%,0.00%,-10.92%,-3.43%,-36.35%,0.26%,-3.27%,-3.51%,18.82%,-6.10%,-3.95%,12.30%,-33.94%,-43.85%,-73.75%,0.44%,1.19%,0.29%,10.03%,8.10%
OST OST,"$6,059,541.09",311,284,287,605,-2.82%,-6.33%,-24.70%,-35.35%,-36.92%,1.79%,3.64%,-27.92%,-54.20%,-60.45%,-8.89%,-17.77%,-27.53%,-1.38%,36.01%,-0.50%,-2.11%,-2.11%,5.58%,18.16%
Selfkey KEY,"$8,260,949.87",319,425,403,769,-4.78%,-8.60%,0.63%,40.52%,87.64%,0.00%,6.25%,13.33%,21.42%,136.11%,-9.24%,-15.52%,-5.63%,102.51%,266.36%,0.00%,-1.42%,22.25%,14.60%,84.41%
Viacoin VIA,"$4,283,452.35",338,297,362,617,0.00%,0.29%,1.80%,11.55%,30.50%,0.00%,0.67%,-0.34%,-11.08%,4.57%,0.00%,0.00%,0.00%,16.02%,81.00%,1.14%,-1.44%,0.16%,20.74%,50.48%
NULS NULS,"$30,642,683.28",363,570,22,796,0.00%,-5.96%,-5.47%,-9.48%,-24.22%,-0.18%,-6.72%,-6.10%,-10.24%,-30.58%,0.00%,-12.00%,-12.00%,-61.41%,-15.39%,0.37%,-0.75%,-1.25%,17.40%,29.22%
Power Ledger POWR,"$36,577,953.66",377,425,555,727,-0.27%,-2.34%,-3.83%,-9.38%,-1.05%,0.00%,0.00%,-5.56%,-15.00%,136.11%,-0.54%,-3.82%,-7.35%,-14.75%,-7.97%,0.13%,-0.42%,5.82%,0.00%,37.42%
Measurable Data Token MDT,"$8,185,031.48",395,414,302,746,-2.71%,-4.36%,-3.66%,1.80%,22.67%,1.22%,3.75%,-4.39%,-1.20%,130.00%,-9.86%,-18.16%,-5.92%,5.22%,-27.76%,-0.54%,1.35%,3.75%,4.04%,0.00%
THETA THETA,"$346,180,070.34",398,558,111,851,-2.22%,-8.30%,-9.76%,2.57%,8.15%,-1.77%,-2.79%,-10.29%,2.57%,3.33%,-8.27%,-38.34%,-22.92%,-12.60%,-1.77%,0.11%,1.06%,4.41%,15.62%,46.72%
HyperCash HC,"$56,452,447.99",412,358,450,769,-3.74%,-2.37%,-11.21%,7.57%,-16.09%,-8.21%,-6.04%,-25.11%,-14.77%,-48.12%,0.00%,0.00%,-2.60%,-5.27%,125.00%,-0.39%,-0.52%,3.49%,-1.67%,7.70%
Nexus NXS,"$13,510,200.10",422,473,362,533,0.23%,0.71%,3.17%,-6.02%,-13.35%,0.42%,1.06%,3.27%,-21.82%,-34.67%,0.00%,0.00%,0.00%,0.00%,81.00%,-0.56%,-1.30%,-6.00%,-4.14%,18.18%
Neblio NEBL,"$7,918,593.28",421,441,412,564,0.00%,0.71%,1.93%,-3.45%,15.65%,1.37%,2.55%,0.68%,-22.36%,-8.51%,0.00%,0.00%,0.00%,0.00%,106.00%,1.07%,0.00%,2.54%,-1.58%,24.22%
Ardor ARDR,"$58,121,890.55",430,425,374,749,0.00%,0.46%,4.36%,7.76%,17.80%,0.00%,0.00%,0.00%,0.00%,19.04%,0.00%,0.80%,10.32%,19.87%,11.30%,0.26%,0.40%,6.24%,9.50%,31.86%
Crypto.com MCO,"$66,026,766.84",437,500,693,760,-1.36%,-2.46%,-2.46%,16.22%,31.62%,0.00%,0.00%,0.00%,5.26%,177.77%,-2.12%,-4.02%,-3.35%,26.45%,50.32%,0.00%,0.00%,-3.07%,1.87%,17.64%
Populous PPT,"$14,943,787.30",438,495,328,640,-1.13%,-3.53%,10.05%,24.07%,51.55%,0.60%,0.20%,43.06%,23.75%,205.55%,-3.82%,-10.87%,-20.20%,-34.14%,-17.39%,-1.54%,-1.09%,-4.20%,-10.24%,15.52%
Quantstamp QSP,"$22,153,209.42",463,426,459,717,3.11%,3.81%,2.66%,1.09%,-14.89%,1.91%,3.90%,-2.97%,-23.11%,-42.12%,4.55%,3.37%,7.49%,39.93%,47.58%,2.28%,4.21%,8.80%,37.09%,40.31%
GXChain GXC,"$36,775,110.04",493,514,450,780,-0.21%,2.70%,2.28%,12.55%,0.40%,0.78%,5.32%,-1.35%,-5.17%,-26.79%,-2.60%,-2.60%,-2.60%,-5.27%,125.00%,0.77%,2.36%,12.23%,12.23%,20.18%
Bread BRD,"$8,705,248.42",498,705,225,582,0.00%,-2.74%,-3.31%,0.20%,-3.68%,0.00%,-0.85%,0.00%,2.47%,-2.22%,0.00%,-10.36%,-14.45%,-6.25%,-15.10%,-0.69%,-1.19%,-3.33%,-3.00%,14.34%
TomoChain TOMO,"$46,291,083.15",498,831,22,814,0.00%,-0.40%,-3.68%,-5.51%,1.63%,0.00%,-0.36%,-2.24%,-3.82%,0.48%,0.00%,0.00%,-55.11%,-64.52%,-29.04%,0.36%,-0.74%,2.13%,6.40%,16.78%
Aion AION,"$43,070,153.80",503,464,506,745,0.00%,-0.20%,-10.98%,-30.14%,-28.45%,0.00%,-0.65%,-15.18%,-39.27%,-43.42%,0.00%,0.79%,-9.65%,-23.45%,-13.06%,0.13%,-0.27%,4.92%,-0.41%,27.35%
Civic CVC,"$19,833,323.19",517,485,509,769,-0.39%,-2.09%,-6.18%,-22.96%,-21.19%,0.62%,-1.03%,-9.01%,-34.55%,-42.40%,-1.17%,-3.97%,-6.78%,-11.48%,17.55%,-1.16%,0.26%,10.17%,7.55%,24.83%
Cortex CTXC,"$25,383,688.25",520,877,26,779,-1.71%,-2.99%,0.19%,0.58%,13.28%,-0.23%,-0.57%,0.00%,9.35%,17.56%,-43.48%,-56.67%,-10.35%,-79.20%,-61.20%,0.64%,0.12%,3.59%,9.25%,21.90%
Wanchain WAN,"$43,802,119.31",524,584,437,784,0.19%,2.54%,6.72%,1.35%,2.74%,0.34%,3.54%,5.79%,-17.29%,-19.90%,0.00%,0.00%,0.00%,-2.89%,118.50%,0.00%,2.21%,10.57%,18.07%,10.73%
VITE VITE,"$8,672,351.33",529,841,104,723,-0.76%,-1.68%,-4.00%,18.34%,3.52%,0.00%,0.00%,-0.24%,21.88%,3.31%,-8.78%,-18.75%,-30.67%,-2.81%,-12.61%,0.27%,1.68%,-4.24%,11.40%,22.95%
Mainframe MFT,"$19,359,138.67",533,464,571,778,-1.85%,-3.97%,-7.63%,7.45%,6.60%,0.65%,2.88%,-3.74%,-10.95%,-29.06%,-4.36%,-10.51%,-13.36%,30.36%,84.78%,-1.27%,-1.65%,1.56%,21.18%,54.67%
Ren REN,"$243,060,522.41",534,600,904,895,0.00%,0.37%,6.16%,29.29%,43.93%,0.00%,0.00%,0.00%,9.09%,233.33%,0.00%,0.33%,7.36%,43.26%,67.09%,0.00%,0.44%,8.74%,15.03%,23.61%
AdEx ADX,"$14,344,240.23",536,647,350,781,-1.29%,-4.46%,-14.38%,-0.56%,16.01%,0.31%,-1.53%,-3.87%,-9.01%,-3.44%,-5.15%,-11.84%,-32.96%,11.82%,79.48%,-0.89%,-1.27%,-9.40%,29.95%,53.13%
Syscoin SYS,"$45,193,159.41",538,624,412,811,0.00%,-0.38%,-2.54%,6.95%,5.90%,0.00%,0.48%,-5.03%,-9.44%,-16.58%,0.00%,-3.06%,-3.06%,-5.73%,106.00%,-0.13%,-0.86%,-4.26%,33.38%,45.34%
Groestlcoin GRS,"$14,006,118.71",540,641,425,672,0.18%,0.55%,-1.64%,16.37%,15.13%,0.15%,0.47%,-4.76%,5.95%,-4.33%,0.00%,0.00%,-2.75%,-2.75%,112.50%,0.44%,-0.45%,1.05%,1.66%,17.48%
FunFair FUN,"$24,310,676.28",541,504,567,646,-0.74%,-4.08%,-12.18%,-8.00%,-3.23%,0.39%,-2.71%,-14.14%,-17.79%,-21.25%,-1.74%,-5.82%,-10.43%,3.46%,23.26%,-1.23%,-2.57%,-9.02%,0.78%,15.56%
QuarkChain QKC,"$12,780,455.25",548,739,276,726,-1.09%,-1.80%,0.73%,-0.19%,-15.18%,0.27%,-0.27%,8.19%,11.46%,-2.38%,-6.13%,-6.76%,-18.11%,-28.32%,-46.31%,0.27%,-0.69%,0.41%,9.00%,18.04%
SingularDTV SNGLS,"$4,851,322.67",560,930,93,602,0.00%,-0.71%,-7.44%,0.90%,3.13%,-0.22%,-0.65%,2.42%,1.86%,0.00%,1.08%,0.00%,-59.92%,-21.85%,10.71%,1.00%,-0.17%,2.03%,18.50%,38.70%
NavCoin NAV,"$8,929,208.09",563,593,526,567,-0.18%,-0.71%,-1.23%,-5.86%,-2.43%,-0.51%,-1.34%,-1.99%,-7.92%,0.16%,0.00%,0.00%,-0.38%,-6.08%,-9.47%,0.71%,1.79%,0.00%,12.27%,22.72%
Startcoin STRAT,"$47,678,303.69",563,621,500,729,0.53%,0.71%,3.11%,8.47%,9.32%,0.00%,0.48%,-0.80%,-11.42%,-18.29%,0.00%,0.00%,2.66%,2.66%,150.00%,1.10%,-2.93%,-1.22%,8.32%,27.67%
district0x DNT,"$6,486,652.24",564,642,442,696,-0.53%,-3.10%,3.86%,6.21%,14.17%,0.31%,0.46%,-0.62%,-4.89%,-11.21%,-2.22%,-9.80%,10.22%,27.74%,104.62%,0.14%,0.72%,13.53%,23.40%,49.67%
Bluzelle BLZ,"$29,389,988.11",572,637,443,822,-1.72%,-4.99%,-7.30%,25.16%,24.34%,-0.32%,-1.55%,-5.63%,15.18%,-5.49%,-4.94%,-12.11%,-12.46%,41.53%,142.07%,0.48%,0.48%,0.36%,39.79%,57.77%
Ravencoin RVN,"$117,548,176.82",581,706,425,763,0.00%,1.04%,6.41%,10.66%,18.81%,-0.15%,1.14%,5.68%,-1.26%,0.42%,0.00%,0.00%,3.15%,3.15%,112.50%,0.00%,0.00%,2.83%,2.83%,24.87%
Request REQ,"$25,105,508.11",582,602,540,673,-0.69%,-1.86%,4.30%,6.39%,50.38%,0.50%,3.97%,26.20%,-10.42%,52.40%,-2.53%,-8.48%,-13.74%,36.36%,46.73%,0.14%,-3.17%,-7.18%,28.19%,51.57%
Ambrosus AMB,"$2,285,850.44",591,713,412,743,-1.50%,-0.34%,11.29%,47.38%,-0.17%,0.00%,-1.52%,11.75%,59.15%,0.70%,-4.85%,2.74%,14.12%,33.33%,-14.17%,0.00%,-0.27%,2.20%,28.99%,72.38%
GoChain GO,"$10,448,861.37",594,723,462,660,0.00%,0.50%,1.19%,28.85%,27.46%,0.13%,0.27%,0.41%,20.29%,6.01%,0.00%,0.00%,-2.74%,5.72%,131.00%,-1.20%,-0.16%,-4.63%,1.85%,44.10%
IOST IOST,"$76,467,422.25",598,573,586,819,0.67%,2.04%,-0.50%,-5.23%,-5.23%,1.05%,3.80%,-2.06%,-11.31%,-12.66%,0.00%,0.00%,0.00%,0.00%,1.03%,0.73%,1.23%,4.06%,7.62%,11.88%
Scopuly SKY,"$9,685,116.62",602,778,412,620,-0.17%,-3.38%,-1.96%,45.76%,4.87%,-0.64%,-5.47%,-5.82%,50.48%,-11.90%,0.00%,0.00%,3.00%,-8.45%,106.00%,1.14%,-0.65%,-3.28%,10.71%,18.54%
Streamr DATAcoin DATA,"$28,242,265.66",603,672,521,593,-0.83%,-4.59%,-3.83%,8.45%,15.73%,0.14%,-1.47%,-0.74%,-0.15%,-2.05%,-2.07%,-9.40%,-9.55%,28.32%,58.35%,-0.34%,-2.31%,3.31%,0.67%,28.35%
AirSwap AST,"$16,594,182.77",618,594,608,820,-0.17%,-2.22%,-1.12%,8.23%,22.86%,0.33%,-1.00%,-16.34%,-20.49%,-11.87%,-1.30%,-4.56%,19.44%,87.07%,120.28%,0.73%,0.86%,21.48%,15.00%,41.37%
Nano NANO,"$114,527,216.68",648,785,500,780,0.30%,1.72%,4.51%,22.49%,21.12%,0.38%,1.15%,1.55%,9.02%,-1.14%,0.00%,2.66%,2.66%,8.22%,150.00%,0.90%,0.38%,7.43%,10.79%,27.65%
IOTA MIOTA,"$749,227,909.80",650,920,282,815,-0.16%,-0.16%,0.93%,17.96%,10.35%,-0.22%,-0.33%,0.32%,0.00%,2.56%,0.00%,0.00%,0.00%,394.73%,41.00%,0.24%,-0.13%,6.95%,11.18%,29.98%
Zcoin XZC,"$49,670,369.49",658,843,450,744,0.15%,-0.16%,2.01%,10.96%,15.23%,0.00%,-0.71%,-0.12%,0.00%,-2.89%,0.00%,0.00%,0.00%,0.00%,125.00%,-0.14%,-0.67%,2.47%,1.77%,28.49%
