PROJECT,MARKET CAP,FCAS,DEV. BEHAVIOR,USER ACTIVITY,MARKET MATURITY,1D,5D,1M,6M,1Y,1D,5D,1M,6M,1Y,1D,5D,1M,6M,1Y,1D,5D,1M,6M,1Y
aelf ELF,"$50,480,745.23",672,805,486,781,-0.74%,-2.75%,-1.62%,-7.06%,-1.62%,-0.13%,-0.62%,0.87%,-6.40%,-3.94%,-2.22%,-7.61%,-7.78%,-9.50%,-1.62%,0.12%,0.00%,2.89%,-3.47%,16.39%
Paxos Standard Token PAX,"$246,301,958.03",674,445,904,955,-0.30%,-1.75%,-6.13%,-13.04%,-7.17%,-0.23%,-3.06%,-10.11%,-29.15%,-20.68%,-0.56%,-1.53%,-4.75%,-1.64%,2.26%,0.00%,0.00%,-0.42%,-2.26%,-1.85%
Verge XVG,"$82,161,030.80",674,742,583,708,0.14%,0.14%,-0.74%,-2.75%,-8.43%,0.13%,-0.27%,-1.60%,-5.96%,-0.27%,0.17%,1.03%,1.39%,-0.18%,-23.99%,-0.43%,-1.67%,-4.20%,10.79%,33.08%
Loom Network LOOM,"$28,474,575.91",676,673,655,800,-1.03%,-2.32%,2.57%,-4.12%,-2.74%,-0.15%,-0.74%,-0.74%,-10.15%,-20.64%,-2.68%,-5.21%,4.96%,1.08%,23.58%,0.75%,1.13%,10.19%,11.57%,40.10%
PIVX PIVX,"$23,766,211.41",682,733,628,638,0.29%,0.44%,6.72%,2.71%,0.44%,0.27%,-0.28%,0.96%,-5.30%,1.52%,0.48%,2.11%,16.94%,16.72%,-4.71%,-0.47%,-1.40%,3.90%,5.10%,25.09%
POA Network POA,"$6,367,980.97",687,872,487,758,-0.44%,0.00%,3.93%,12.99%,19.89%,-0.69%,-0.46%,-0.46%,-2.90%,-2.68%,0.00%,0.00%,0.00%,0.00%,143.50%,-1.18%,-1.56%,31.59%,43.01%,75.05%
Siacoin SC,"$143,852,534.65",689,839,537,786,0.00%,0.29%,3.29%,21.73%,46.90%,0.00%,-0.12%,0.00%,7.28%,24.85%,0.00%,0.00%,2.28%,0.00%,168.50%,0.12%,0.12%,5.64%,13.91%,41.11%
Dogecoin DOGE,"$353,988,077.78",689,561,831,782,0.14%,-0.58%,-1.01%,13.13%,-6.90%,0.53%,0.53%,2.00%,33.89%,-6.82%,0.00%,-0.36%,-2.13%,2.59%,-10.55%,-0.51%,-6.13%,-7.46%,-2.01%,20.30%
DigiByte DGB,"$319,957,478.81",700,650,741,806,0.00%,-0.43%,-0.85%,16.66%,10.41%,0.00%,-0.62%,-2.99%,22.41%,24.04%,0.00%,-0.68%,-0.27%,8.01%,-4.76%,0.12%,0.12%,6.61%,33.00%,34.10%
Fantom FTM,"$76,574,843.42",704,823,527,853,1.00%,3.52%,7.48%,6.50%,16.36%,-0.13%,-0.73%,2.10%,1.73%,18.75%,3.74%,13.09%,19.23%,12.36%,12.12%,-0.47%,2.89%,7.56%,20.99%,15.89%
Komodo KMD,"$72,562,837.90",709,886,537,732,0.00%,0.14%,1.57%,15.47%,22.45%,0.00%,-0.12%,-0.79%,0.68%,0.79%,0.00%,0.00%,-2.37%,2.28%,168.50%,-1.62%,-1.22%,5.02%,7.64%,20.00%
BitShares BTS,"$144,101,737.12",709,778,598,846,-0.29%,0.85%,0.85%,-2.08%,-12.69%,0.00%,-0.26%,-1.15%,2.36%,-12.00%,0.00%,0.00%,-0.17%,-11.80%,-21.73%,-1.86%,11.90%,19.32%,16.20%,40.76%
Qtum QTUM,"$231,384,937.75",712,792,581,871,0.99%,4.09%,10.55%,10.55%,-5.20%,0.38%,1.79%,5.88%,16.12%,-1.25%,2.10%,9.41%,21.29%,3.01%,-14.44%,0.69%,0.11%,4.31%,7.26%,8.33%
Enjin Coin ENJ,"$132,482,044.10",716,635,806,775,-0.56%,-4.54%,-6.41%,19.33%,-1.79%,-0.63%,-6.90%,-11.44%,55.63%,-3.79%,-0.99%,-3.25%,-2.78%,-0.74%,-3.82%,1.83%,1.04%,3.74%,4.72%,26.84%
Polymath POLY,"$23,513,654.03",716,907,480,717,-0.42%,-2.99%,-2.46%,-2.85%,7.02%,-0.12%,-0.33%,0.55%,1.22%,4.97%,-1.04%,-8.92%,-10.95%,-11.28%,8.10%,0.42%,-0.28%,7.81%,-0.83%,23.19%
Golem GNT,"$115,414,573.63",717,886,488,813,-0.28%,-0.97%,5.59%,9.29%,5.90%,-0.12%,-0.12%,1.83%,4.11%,0.22%,-0.82%,-3.18%,12.96%,19.90%,12.96%,-0.13%,0.24%,11.52%,16.97%,31.98%
Lisk LSK,"$176,822,260.09",718,825,578,756,0.00%,0.13%,4.20%,0.00%,-2.45%,0.00%,0.00%,1.60%,-3.40%,-5.29%,0.00%,0.34%,7.83%,6.05%,-2.86%,-0.40%,-0.14%,9.24%,2.30%,24.75%
Aeternity AE,"$43,465,970.93",722,893,562,750,-0.14%,0.13%,2.55%,0.27%,0.55%,-0.12%,-0.34%,-0.12%,-1.55%,-3.98%,0.00%,0.00%,0.00%,16.35%,19.82%,0.00%,0.13%,5.18%,1.35%,16.45%
Ark ARK,"$40,423,421.07",727,920,537,738,0.13%,0.27%,2.68%,17.63%,26.43%,0.00%,-0.22%,0.65%,2.79%,4.54%,0.00%,0.00%,2.28%,2.28%,168.50%,-0.14%,0.13%,-5.02%,16.22%,31.78%
Tezos XTZ,"$1,880,545,295.51",741,686,787,856,0.00%,-0.54%,-2.38%,0.27%,8.01%,0.00%,-0.87%,-5.25%,1.32%,15.48%,0.00%,0.00%,0.00%,-0.13%,-0.64%,0.23%,-1.16%,1.42%,-3.17%,17.42%
Litecoin LTC,"$3,159,525,382.75",742,613,883,840,0.27%,0.54%,-0.81%,5.39%,-1.07%,0.65%,1.32%,-3.16%,12.06%,-0.49%,0.00%,-0.12%,0.91%,0.68%,-2.76%,0.00%,0.00%,1.44%,1.94%,5.79%
Fetch FET,"$64,640,128.24",745,866,578,834,0.26%,-0.41%,11.36%,20.16%,10.04%,0.00%,0.34%,2.12%,2.85%,-1.71%,0.69%,-2.04%,37.94%,76.75%,29.01%,0.00%,0.00%,2.83%,17.13%,50.54%
Enigma ENG,"$40,074,089.52",749,865,601,776,-0.40%,-0.93%,1.90%,6.54%,28.47%,0.11%,0.58%,1.52%,3.34%,8.80%,-1.32%,-3.69%,0.33%,11.09%,79.94%,0.12%,0.91%,12.46%,14.79%,49.51%
Steem STEEM,"$67,751,246.00",750,735,780,693,-0.27%,-0.80%,-0.40%,-1.19%,-6.61%,-0.55%,-1.21%,-2.52%,-3.42%,-11.88%,-0.13%,-0.39%,1.29%,0.77%,-4.53%,0.43%,-0.86%,5.47%,2.81%,29.29%
Numeraire NMR,"$120,642,075.34",750,683,827,786,-0.27%,0.94%,9.80%,15.38%,36.11%,0.00%,1.94%,-4.61%,-4.88%,18.98%,-0.73%,0.12%,24.73%,45.59%,46.37%,0.12%,-0.64%,37.65%,22.42%,138.90%
SingularityNET AGI,"$36,622,524.70",753,834,655,744,-0.53%,-2.21%,15.49%,17.84%,18.58%,0.12%,0.72%,5.97%,-2.92%,-5.98%,-1.80%,-7.23%,32.32%,73.74%,95.52%,0.81%,0.94%,22.57%,27.61%,31.68%
iExec RLC RLC,"$83,839,542.48",759,767,740,809,0.00%,-1.05%,-4.29%,10.64%,26.50%,0.00%,0.00%,-1.04%,7.27%,-3.28%,-0.14%,-2.25%,-9.10%,12.63%,91.21%,0.74%,-1.23%,0.12%,23.88%,75.48%
Ontology ONT,"$449,816,967.29",759,855,628,827,0.00%,-0.27%,-1.31%,6.00%,-0.92%,0.00%,-0.47%,-0.70%,6.21%,0.23%,0.00%,0.15%,-3.54%,6.26%,-5.71%,0.73%,0.85%,3.76%,4.94%,12.97%
Raiden Network Token RDN,"$13,722,834.36",761,880,613,767,-1.05%,-3.55%,-3.68%,3.39%,6.58%,-0.12%,-0.34%,-0.34%,4.38%,1.96%,-3.01%,-9.32%,-11.16%,-1.45%,8.11%,0.13%,-0.39%,7.57%,20.59%,48.64%
NEM XEM,"$1,101,723,553.08",761,876,601,848,0.13%,1.60%,3.96%,-3.31%,-0.92%,0.11%,0.34%,0.34%,-1.25%,4.16%,0.33%,3.62%,8.09%,-9.63%,-14.39%,-0.12%,2.66%,14.90%,9.41%,31.47%
Elrond ERD,"$262,470,408.01",771,927,563,848,0.00%,-3.15%,-12.49%,N/A,N/A,0.00%,-0.11%,-0.65%,N/A,N/A,0.17%,-9.20%,-30.93%,N/A,N/A,-0.47%,-2.08%,-4.83%,N/A,N/A
IoTeX IOTX,"$46,446,057.92",772,924,589,755,-0.90%,-1.54%,0.91%,-2.16%,-5.51%,0.00%,0.10%,3.70%,7.69%,2.09%,-2.33%,-4.54%,-4.85%,-19.10%,-23.01%,-0.66%,0.66%,5.74%,12.68%,43.80%
Blockstack STX,"$92,808,974.17",784,910,633,750,0.00%,0.12%,3.15%,N/A,N/A,0.11%,0.44%,1.11%,N/A,N/A,-0.32%,-0.63%,4.80%,N/A,N/A,0.40%,0.53%,10.94%,N/A,N/A
Waves WAVES,"$253,118,066.43",785,862,676,861,-0.13%,-0.26%,2.61%,-1.01%,5.79%,0.00%,-0.24%,0.93%,-0.92%,-4.01%,0.00%,0.14%,3.84%,-3.43%,18.80%,-0.81%,-0.81%,9.96%,10.52%,35.37%
Binance Coin BNB,"$2,809,316,881.00",792,744,845,825,0.12%,-0.13%,-0.63%,2.19%,5.88%,0.00%,-0.41%,-1.20%,-3.26%,16.06%,0.11%,0.11%,-0.36%,9.03%,-2.99%,0.00%,-0.37%,0.48%,0.60%,7.56%
Decred DCR,"$163,819,832.87",801,856,749,721,0.12%,0.37%,0.12%,-0.87%,-2.08%,0.11%,0.70%,0.23%,-0.35%,-1.50%,0.00%,0.00%,0.26%,-0.14%,1.35%,0.13%,-0.83%,-1.10%,-8.27%,-2.04%
Cosmos ATOM,"$1,019,332,524.26",802,932,630,853,0.00%,-0.50%,1.13%,5.24%,7.36%,0.00%,-0.11%,0.86%,2.53%,1.74%,-0.16%,-1.10%,0.96%,9.56%,14.54%,0.00%,-1.05%,2.03%,7.29%,14.80%
Holo HOT,"$96,697,941.47",806,891,718,724,-0.50%,-1.35%,0.87%,0.12%,3.06%,-0.12%,-0.45%,0.45%,-5.42%,-4.40%,-0.83%,-2.58%,2.27%,9.78%,14.69%,-0.42%,-1.77%,-1.23%,2.69%,14.19%
Bancor BNT,"$80,115,219.17",808,762,855,863,-0.13%,-0.13%,3.19%,19.88%,16.93%,0.26%,0.92%,10.59%,16.51%,23.10%,-0.59%,-1.28%,-4.05%,23.73%,6.21%,-0.24%,-0.12%,3.72%,19.69%,51.13%
Storj STORJ,"$96,440,519.02",812,885,705,899,-0.62%,-0.50%,5.31%,6.56%,24.34%,-0.23%,-0.57%,-0.45%,1.25%,-0.90%,-1.27%,-0.85%,11.90%,9.64%,89.51%,-0.12%,1.92%,20.50%,36.62%,57.99%
Gas GAS,"$16,460,625.55",814,861,772,731,0.12%,0.61%,5.57%,8.67%,8.24%,0.00%,-0.12%,0.46%,8.98%,5.64%,0.12%,1.57%,14.88%,9.34%,9.50%,0.41%,0.13%,-0.28%,3.39%,21.83%
Dash DASH,"$673,068,795.24",818,791,851,819,0.00%,0.12%,0.86%,-0.13%,-0.73%,-0.13%,0.12%,1.67%,0.76%,3.66%,0.00%,0.00%,-0.12%,-0.24%,-7.40%,-0.25%,-0.37%,0.12%,-5.87%,13.12%
VeChain VET,"$699,564,418.89",823,790,861,840,-0.13%,-0.37%,-1.09%,8.00%,6.88%,-0.13%,0.12%,1.02%,5.47%,-0.26%,0.00%,0.00%,-2.16%,11.67%,13.14%,-0.71%,-5.09%,-7.70%,4.73%,22.98%
Ethereum Classic ETC,"$603,109,205.17",825,887,752,805,-0.13%,-1.08%,-4.30%,-7.72%,5.76%,0.00%,-0.23%,-0.45%,-3.59%,21.34%,-0.40%,-2.47%,-10.16%,-13.77%,-10.48%,0.00%,-0.62%,-0.62%,-5.08%,2.28%
ICON ICX,"$234,004,702.89",826,815,842,815,-0.13%,-0.37%,2.48%,17.16%,41.19%,-0.37%,-0.98%,2.13%,2.38%,-2.40%,-0.12%,0.00%,1.56%,45.67%,225.09%,0.74%,1.11%,10.43%,4.35%,21.82%
Zilliqa ZIL,"$160,416,643.84",828,873,767,850,-0.13%,-0.84%,-0.49%,10.10%,13.58%,-0.23%,-0.69%,-0.57%,4.05%,3.68%,-0.14%,-1.29%,-1.42%,19.47%,28.04%,0.00%,-0.36%,3.53%,10.10%,25.92%
Loopring LRC,"$197,338,782.47",828,870,772,848,0.36%,0.12%,1.09%,17.94%,72.86%,-0.12%,-0.35%,0.00%,15.84%,14.62%,1.04%,0.65%,2.25%,19.13%,649.51%,0.11%,0.71%,2.91%,26.37%,37.43%
Status SNT,"$102,632,294.83",832,935,709,808,-0.48%,-1.08%,-0.36%,0.24%,9.32%,-0.22%,-0.22%,-0.32%,0.53%,-0.22%,-0.84%,-2.88%,-2.35%,-1.26%,26.60%,-0.50%,0.74%,8.60%,5.34%,19.70%
Horizen ZEN,"$64,624,886.06",832,857,823,726,-0.36%,-1.31%,-4.70%,0.00%,3.09%,-0.12%,-1.16%,-1.27%,1.90%,1.78%,-0.73%,-1.32%,-8.97%,-3.30%,2.74%,0.55%,-1.50%,-2.95%,7.55%,16.53%
Monero XMR,"$1,376,523,814.32",834,811,867,815,-0.12%,-0.24%,0.60%,-2.58%,4.38%,0.00%,-0.74%,-0.25%,-0.62%,0.12%,0.00%,0.23%,1.52%,-5.46%,8.78%,-0.49%,-0.37%,1.24%,1.49%,9.54%
Augur REP,"$181,599,975.62",835,874,796,792,-0.36%,-1.54%,-0.36%,1.08%,6.64%,-0.12%,-0.23%,1.86%,-0.69%,7.63%,-0.63%,-3.17%,-3.40%,3.37%,2.18%,0.00%,-1.00%,0.76%,2.45%,25.91%
Zcash ZEC,"$545,301,109.57",845,854,832,847,0.11%,-0.12%,1.68%,4.57%,2.79%,0.00%,0.00%,0.58%,2.76%,5.17%,0.00%,-0.24%,3.35%,6.66%,-2.47%,0.00%,-1.75%,0.00%,3.92%,16.50%
NEO NEO,"$1,177,717,430.40",846,861,831,834,-0.12%,-0.24%,2.17%,8.04%,6.01%,0.00%,-0.12%,0.46%,8.98%,5.64%,-0.13%,-0.48%,4.65%,7.92%,5.72%,-0.48%,0.36%,1.95%,2.70%,11.34%
Decentraland MANA,"$120,939,169.73",855,891,808,874,-0.35%,-0.70%,2.27%,-1.73%,5.16%,-0.12%,0.00%,0.33%,1.25%,0.00%,-0.74%,-1.71%,3.19%,-7.66%,7.01%,-0.23%,-0.35%,11.62%,10.91%,40.28%
XRP XRP,"$11,080,165,818.28",855,849,868,829,0.11%,-0.47%,-0.47%,-2.51%,6.21%,0.11%,-0.94%,-1.97%,-4.93%,0.59%,0.11%,0.00%,1.28%,-0.23%,12.58%,-0.37%,-0.37%,-0.37%,1.84%,13.09%
OmiseGO OMG,"$537,279,009.54",856,842,867,890,0.00%,-0.35%,7.00%,17.42%,7.67%,0.11%,-0.12%,3.43%,14.71%,2.18%,0.00%,-0.58%,10.44%,22.11%,12.45%,-0.23%,-0.34%,12.09%,11.94%,20.43%
Basic Attention Token BAT,"$370,279,540.80",867,819,929,857,0.11%,0.00%,1.28%,10.72%,6.64%,0.00%,-0.49%,-0.13%,13.43%,2.11%,0.10%,0.21%,1.86%,8.40%,9.68%,0.46%,0.70%,6.85%,8.20%,21.73%
ETHLend LEND,"$696,042,146.16",874,818,940,895,0.11%,0.22%,3.55%,25.93%,57.19%,0.00%,0.00%,2.12%,2.76%,29.43%,0.10%,0.10%,4.91%,63.19%,97.06%,0.78%,2.28%,4.92%,36.22%,88.81%
Kyber Network KNC,"$245,251,006.92",876,833,936,838,0.11%,0.45%,1.50%,5.03%,14.96%,0.12%,0.48%,3.60%,1.95%,-2.24%,0.00%,0.32%,-0.22%,9.09%,37.84%,-0.48%,-0.24%,-2.11%,2.31%,34.94%
0x ZRX,"$319,840,056.56",883,882,889,860,-0.12%,-0.57%,0.45%,-0.34%,1.37%,-0.12%,-0.34%,-0.23%,-1.79%,-2.00%,-0.23%,-1.12%,-0.90%,-0.12%,0.90%,0.58%,1.05%,13.30%,8.86%,33.95%
Aragon ANT,"$153,996,069.08",884,936,818,898,-0.68%,-2.00%,4.86%,13.91%,41.44%,0.00%,-0.22%,-0.22%,1.51%,4.58%,-1.57%,-4.89%,8.05%,29.84%,129.13%,0.22%,0.78%,31.09%,52.20%,215.08%
Algorand ALGO,"$374,806,097.18",885,874,902,863,0.11%,-0.12%,9.80%,24.64%,N/A,0.00%,-0.69%,1.27%,2.10%,N/A,0.00%,0.44%,23.22%,73.79%,N/A,-0.35%,-0.24%,5.11%,13.85%,N/A
Stellar XLM,"$1,616,076,520.67",892,924,868,811,0.00%,-0.12%,-0.12%,1.47%,12.20%,0.00%,0.00%,0.76%,0.98%,0.10%,0.11%,0.00%,-0.58%,2.23%,31.51%,-0.37%,-1.46%,-3.80%,0.62%,20.50%
Maker MKR,"$548,936,418.61",893,911,892,800,0.00%,0.00%,0.33%,5.68%,3.47%,0.10%,0.22%,-0.66%,0.99%,0.55%,0.22%,-0.12%,0.90%,11.36%,4.81%,-0.50%,0.00%,6.38%,12.51%,22.88%
TRON TRX,"$2,265,700,835.28",896,852,950,900,0.22%,0.56%,2.75%,5.28%,4.55%,0.00%,0.11%,1.42%,1.79%,1.30%,0.10%,0.21%,2.81%,8.69%,5.79%,1.35%,5.50%,10.29%,9.48%,19.04%
EOS EOS,"$2,795,291,265.68",916,924,923,836,-0.11%,-0.55%,-0.66%,-1.08%,0.88%,0.00%,-0.76%,-0.65%,-1.71%,0.10%,0.00%,0.00%,-0.97%,-0.54%,0.65%,-0.60%,-0.84%,1.45%,0.11%,9.13%
Cardano ADA,"$2,481,237,920.28",933,968,906,848,-0.22%,-0.75%,0.43%,6.50%,4.24%,-0.11%,-0.11%,0.00%,1.89%,3.19%,-0.34%,-1.31%,1.34%,13.25%,3.66%,-0.94%,-2.53%,-2.20%,6.66%,14.90%
Chainlink LINK,"$4,106,306,201.20",936,906,977,920,0.00%,0.10%,2.07%,9.34%,14.42%,0.00%,0.11%,2.02%,9.81%,11.16%,0.10%,0.20%,1.87%,9.65%,17.14%,-0.22%,-0.44%,3.02%,5.26%,20.73%